date,value,suit,symbol,filename,post_id
09-09-2026,A,Corazones,♥,card_09-09-2026.png,2097556910866083879
09-09-2026,6,Diamantes,♦,card_09-09-2026.png,2097708041206468680
10-09-2026,A,Diamantes,♦,card_10-09-2026.png,2098069129798255035
11-09-2026,5,Treboles,♣,card_11-09-2026.png,2098431901547511905
12-09-2026,6,Corazones,♥,card_12-09-2026.png,2098781198470226002
13-09-2026,8,Diamantes,♦,card_13-09-2026.png,2099153723549196311
14-09-2026,J,Diamantes,♦,card_14-09-2026.png,2099545715793916201
15-09-2026,3,Diamantes,♦,card_15-09-2026.png,2099887844667937106
16-09-2026,5,Diamantes,♦,card_16-09-2026.png,2100248279128666140
17-09-2026,6,Picas,♠,card_17-09-2026.png,2100612133469712706
18-09-2026,7,Picas,♠,card_18-09-2026.png,2100967610993066258
19-09-2026,6,Diamantes,♦,card_19-09-2026.png,2101324314406461615
20-09-2026,4,Diamantes,♦,card_20-09-2026.png,2101687660704067852
21-09-2026,K,Corazones,♥,card_21-09-2026.png,2102084684259713378
22-09-2026,8,Corazones,♥,card_22-09-2026.png,2102425362101686779
